DateKey,FullDate,Day,Month,Quarter,Year
1,2023-01-01,1,1,1,2023
2,2023-01-02,2,1,1,2023
3,2023-01-03,3,1,1,2023
4,2023-01-04,4,1,1,2023
5,2023-01-05,5,1,1,2023
6,2023-01-06,6,1,1,2023
7,2023-01-07,7,1,1,2023
8,2023-01-08,8,1,1,2023
9,2023-01-09,9,1,1,2023
10,2023-01-10,10,1,1,2023
11,2023-01-11,11,1,1,2023
12,2023-01-12,12,1,1,2023
13,2023-01-13,13,1,1,2023
14,2023-01-14,14,1,1,2023
15,2023-01-15,15,1,1,2023
16,2023-01-16,16,1,1,2023
17,2023-01-17,17,1,1,2023
18,2023-01-18,18,1,1,2023
19,2023-01-19,19,1,1,2023
20,2023-01-20,20,1,1,2023
21,2023-01-21,21,1,1,2023
22,2023-01-22,22,1,1,2023
23,2023-01-23,23,1,1,2023
24,2023-01-24,24,1,1,2023
25,2023-01-25,25,1,1,2023
26,2023-01-26,26,1,1,2023
27,2023-01-27,27,1,1,2023
28,2023-01-28,28,1,1,2023
29,2023-01-29,29,1,1,2023
30,2023-01-30,30,1,1,2023
31,2023-01-31,31,1,1,2023
32,2023-02-01,1,2,1,2023
33,2023-02-02,2,2,1,2023
34,2023-02-03,3,2,1,2023
35,2023-02-04,4,2,1,2023
36,2023-02-05,5,2,1,2023
37,2023-02-06,6,2,1,2023
38,2023-02-07,7,2,1,2023
39,2023-02-08,8,2,1,2023
40,2023-02-09,9,2,1,2023
41,2023-02-10,10,2,1,2023
42,2023-02-11,11,2,1,2023
43,2023-02-12,12,2,1,2023
44,2023-02-13,13,2,1,2023
45,2023-02-14,14,2,1,2023
46,2023-02-15,15,2,1,2023
47,2023-02-16,16,2,1,2023
48,2023-02-17,17,2,1,2023
49,2023-02-18,18,2,1,2023
50,2023-02-19,19,2,1,2023
51,2023-02-20,20,2,1,2023
52,2023-02-21,21,2,1,2023
53,2023-02-22,22,2,1,2023
54,2023-02-23,23,2,1,2023
55,2023-02-24,24,2,1,2023
56,2023-02-25,25,2,1,2023
57,2023-02-26,26,2,1,2023
58,2023-02-27,27,2,1,2023
59,2023-02-28,28,2,1,2023
60,2023-03-01,1,3,1,2023
61,2023-03-02,2,3,1,2023
62,2023-03-03,3,3,1,2023
63,2023-03-04,4,3,1,2023
64,2023-03-05,5,3,1,2023
65,2023-03-06,6,3,1,2023
66,2023-03-07,7,3,1,2023
67,2023-03-08,8,3,1,2023
68,2023-03-09,9,3,1,2023
69,2023-03-10,10,3,1,2023
70,2023-03-11,11,3,1,2023
71,2023-03-12,12,3,1,2023
72,2023-03-13,13,3,1,2023
73,2023-03-14,14,3,1,2023
74,2023-03-15,15,3,1,2023
75,2023-03-16,16,3,1,2023
76,2023-03-17,17,3,1,2023
77,2023-03-18,18,3,1,2023
78,2023-03-19,19,3,1,2023
79,2023-03-20,20,3,1,2023
80,2023-03-21,21,3,1,2023
81,2023-03-22,22,3,1,2023
82,2023-03-23,23,3,1,2023
83,2023-03-24,24,3,1,2023
84,2023-03-25,25,3,1,2023
85,2023-03-26,26,3,1,2023
86,2023-03-27,27,3,1,2023
87,2023-03-28,28,3,1,2023
88,2023-03-29,29,3,1,2023
89,2023-03-30,30,3,1,2023
90,2023-03-31,31,3,1,2023
91,2023-04-01,1,4,2,2023
92,2023-04-02,2,4,2,2023
93,2023-04-03,3,4,2,2023
94,2023-04-04,4,4,2,2023
95,2023-04-05,5,4,2,2023
96,2023-04-06,6,4,2,2023
97,2023-04-07,7,4,2,2023
98,2023-04-08,8,4,2,2023
99,2023-04-09,9,4,2,2023
100,2023-04-10,10,4,2,2023
